"samples","grouped","infection","rep","mouse.strain","timepoint","immune.status","late.early","batch","seq.method","sample.seq"
"3","C57BL6_1stInf_5dpi_rep1","C57BL6_1stInf_5dpi","1st","rep1","C57BL6",5,"competent","early",3,"hiseq","C57BL6_1stInf_5dpi_rep1 hiseq"
"4","C57BL6_1stInf_5dpi_rep2","C57BL6_1stInf_5dpi","1st","rep2","C57BL6",5,"competent","early",3,"hiseq","C57BL6_1stInf_5dpi_rep2 hiseq"
"5","C57BL6_2ndInf_5dpi_rep1","C57BL6_2ndInf_5dpi","2nd","rep1","C57BL6",5,"competent","early",3,"hiseq","C57BL6_2ndInf_5dpi_rep1 hiseq"
"7","NMRI_1stInf_3dpi_rep1","NMRI_1stInf_3dpi","1st","rep1","NMRI",3,"competent","early",1,"GAII","NMRI_1stInf_3dpi_rep1 GAII"
"8","NMRI_1stInf_3dpi_rep2","NMRI_1stInf_3dpi","1st","rep2","NMRI",3,"competent","early",2,"GAII","NMRI_1stInf_3dpi_rep2 GAII"
"9","NMRI_1stInf_5dpi_rep1","NMRI_1stInf_5dpi","1st","rep1","NMRI",5,"competent","early",2,"GAII","NMRI_1stInf_5dpi_rep1 GAII"
"10","NMRI_1stInf_5dpi_rep2","NMRI_1stInf_5dpi","1st","rep2","NMRI",5,"competent","early",2,"GAII","NMRI_1stInf_5dpi_rep2 GAII"
"11","NMRI_1stInf_5dpi_rep3","NMRI_1stInf_5dpi","1st","rep3","NMRI",5,"competent","early",0,"GAII","NMRI_1stInf_5dpi_rep3 GAII"
"12","NMRI_1stInf_7dpi_rep1","NMRI_1stInf_7dpi","1st","rep1","NMRI",7,"competent","late",1,"GAII","NMRI_1stInf_7dpi_rep1 GAII"
"13","NMRI_1stInf_7dpi_rep2","NMRI_1stInf_7dpi","1st","rep2","NMRI",7,"competent","late",1,"GAII","NMRI_1stInf_7dpi_rep2 GAII"
"17","NMRI_2ndInf_3dpi_rep2","NMRI_2ndInf_3dpi","2nd","rep2","NMRI",3,"competent","early",3,"hiseq","NMRI_2ndInf_3dpi_rep2 hiseq"
"18","NMRI_2ndInf_5dpi_rep1","NMRI_2ndInf_5dpi","2nd","rep1","NMRI",5,"competent","early",2,"GAII","NMRI_2ndInf_5dpi_rep1 GAII"
"20","NMRI_2ndInf_7dpi_rep1","NMRI_2ndInf_7dpi","2nd","rep1","NMRI",7,"competent","late",3,"hiseq","NMRI_2ndInf_7dpi_rep1 hiseq"
"21","NMRI_2ndInf_7dpi_rep2","NMRI_2ndInf_7dpi","2nd","rep2","NMRI",7,"competent","late",3,"hiseq","NMRI_2ndInf_7dpi_rep2 hiseq"
"22","NMRI_oocysts_rep1","NMRI_oocysts","NULLth","rep1","NMRI",NA,"competent",NA,1,"GAII","NMRI_oocysts_rep1 GAII"
"23","NMRI_oocysts_rep2","NMRI_oocysts","NULLth","rep2","NMRI",NA,"competent",NA,0,"GAII","NMRI_oocysts_rep2 GAII"
"24","NMRI_sporozoites_rep1","NMRI_sporozoites","NULLth","rep1","NMRI",NA,"competent",NA,1,"GAII","NMRI_sporozoites_rep1 GAII"
"25","NMRI_sporozoites_rep2","NMRI_sporozoites","NULLth","rep2","NMRI",NA,"competent",NA,0,"GAII","NMRI_sporozoites_rep2 GAII"
"28","Rag_1stInf_5dpi_rep1","Rag_1stInf_5dpi","1st","rep1","Rag",5,"Rag","early",3,"hiseq","Rag_1stInf_5dpi_rep1 hiseq"
"29","Rag_1stInf_5dpi_rep2","Rag_1stInf_5dpi","1st","rep2","Rag",5,"Rag","early",3,"hiseq","Rag_1stInf_5dpi_rep2 hiseq"
"30","Rag_2ndInf_5dpi_rep1","Rag_2ndInf_5dpi","2nd","rep1","Rag",5,"Rag","early",3,"hiseq","Rag_2ndInf_5dpi_rep1 hiseq"
