"sample","grouped","challenged","rep","mouse.strain","dpi","batch","seq.method","c.seq.reads","c.mapping.counts","strain","c.Mm.reads","c.Ef.reads","p.Ef.reads","c.Ef.genes"
"14","NMRI_2ndInf_0dpi_rep1","NMRI_2ndInf_0dpi","2nd","rep1","NMRI","0",2,"GAII",108937797,70489921,"NMRI",70489674,247,4e-04,1
"26","Rag_1stInf_0dpi_rep1","Rag_1stInf_0dpi","1st","rep1","Rag","0",3,"hiseq",25362793,18854293,"Rag",18853850,443,0.0023,2
"1","C57BL6_1stInf_0dpi_rep1","C57BL6_1stInf_0dpi","1st","rep1","C57BL6","0",3,"hiseq",35731249,25119805,"C57BL6",25119348,457,0.0018,2
"2","C57BL6_1stInf_0dpi_rep2","C57BL6_1stInf_0dpi","1st","rep2","C57BL6","0",3,"hiseq",47085959,34377741,"C57BL6",34377133,608,0.0018,2
"27","Rag_1stInf_0dpi_rep2","Rag_1stInf_0dpi","1st","rep2","Rag","0",3,"hiseq",46556156,35234003,"Rag",35233327,676,0.0019,2
"15","NMRI_2ndInf_0dpi_rep2","NMRI_2ndInf_0dpi","2nd","rep2","NMRI","0",3,"hiseq",58122244,40797651,"NMRI",40794245,3406,0.0083,51
"16","NMRI_2ndInf_3dpi_rep1","NMRI_2ndInf_3dpi","2nd","rep1","NMRI","3",3,"hiseq",57934016,40549090,"NMRI",40544287,4803,0.0118,95
"19","NMRI_2ndInf_5dpi_rep2","NMRI_2ndInf_5dpi","2nd","rep2","NMRI","5",3,"hiseq",63965539,48300122,"NMRI",48289181,10941,0.0227,407
"6","NMRI_1stInf_0dpi_rep1","NMRI_1stInf_0dpi","1st","rep1","NMRI","0",1,"GAII",82364585,55194197,"NMRI",55176243,17954,0.0325,701
"17","NMRI_2ndInf_3dpi_rep2","NMRI_2ndInf_3dpi","2nd","rep2","NMRI","3",3,"hiseq",65548826,46201457,"NMRI",46171909,29548,0.064,1580
"21","NMRI_2ndInf_7dpi_rep2","NMRI_2ndInf_7dpi","2nd","rep2","NMRI","7",3,"hiseq",67487466,51762356,"NMRI",51722265,40091,0.0775,1836
"28","Rag_1stInf_5dpi_rep1","Rag_1stInf_5dpi","1st","rep1","Rag","5",3,"hiseq",38651359,30045477,"Rag",29982453,63024,0.2098,2548
"29","Rag_1stInf_5dpi_rep2","Rag_1stInf_5dpi","1st","rep2","Rag","5",3,"hiseq",34779832,25396803,"Rag",25297803,99000,0.3898,2828
"3","C57BL6_1stInf_5dpi_rep1","C57BL6_1stInf_5dpi","1st","rep1","C57BL6","5",3,"hiseq",40904388,29505573,"C57BL6",29319604,185969,0.6303,4173
"30","Rag_2ndInf_5dpi_rep1","Rag_2ndInf_5dpi","2nd","rep1","Rag","5",3,"hiseq",50049848,37286477,"Rag",37093621,192856,0.5172,4167
"4","C57BL6_1stInf_5dpi_rep2","C57BL6_1stInf_5dpi","1st","rep2","C57BL6","5",3,"hiseq",29511368,18278045,"C57BL6",18062349,215696,1.1801,3823
"5","C57BL6_2ndInf_5dpi_rep1","C57BL6_2ndInf_5dpi","2nd","rep1","C57BL6","5",3,"hiseq",35148432,25923093,"C57BL6",25660184,262909,1.0142,4563
"7","NMRI_1stInf_3dpi_rep1","NMRI_1stInf_3dpi","1st","rep1","NMRI","3",1,"GAII",73236430,50387742,"NMRI",49993358,394384,0.7827,5220
"8","NMRI_1stInf_3dpi_rep2","NMRI_1stInf_3dpi","1st","rep2","NMRI","3",2,"GAII",160709694,118204095,"NMRI",117791044,413051,0.3494,4862
"10","NMRI_1stInf_5dpi_rep2","NMRI_1stInf_5dpi","1st","rep2","NMRI","5",2,"GAII",119902722,77214344,"NMRI",76419774,794570,1.029,5333
"18","NMRI_2ndInf_5dpi_rep1","NMRI_2ndInf_5dpi","2nd","rep1","NMRI","5",2,"GAII",230773955,145033326,"NMRI",143186486,1846840,1.2734,5533
"20","NMRI_2ndInf_7dpi_rep1","NMRI_2ndInf_7dpi","2nd","rep1","NMRI","7",3,"hiseq",70366762,50101347,"NMRI",41467146,8634201,17.2335,5875
"9","NMRI_1stInf_5dpi_rep1","NMRI_1stInf_5dpi","1st","rep1","NMRI","5",2,"GAII",76702168,55706788,"NMRI",47037087,8669701,15.5631,5700
"25","NMRI_sporozoites_rep2","NMRI_sporozoites","in vitro","rep2","NMRI","in vitro",0,"GAII",19551681,11479260,"NMRI",8656,11470604,99.9246,5513
"11","NMRI_1stInf_5dpi_rep3","NMRI_1stInf_5dpi","1st","rep3","NMRI","5",0,"GAII",191099180,111575082,"NMRI",83735624,27839458,24.9513,5784
"12","NMRI_1stInf_7dpi_rep1","NMRI_1stInf_7dpi","1st","rep1","NMRI","7",1,"GAII",66505514,42711550,"NMRI",3310666,39400884,92.2488,5932
"24","NMRI_sporozoites_rep1","NMRI_sporozoites","in vitro","rep1","NMRI","in vitro",1,"GAII",67325397,43778735,"NMRI",4334,43774401,99.9901,5825
"22","NMRI_oocysts_rep1","NMRI_oocysts","environmental","rep1","NMRI","environmental",1,"GAII",68859802,49656870,"NMRI",3805,49653065,99.9923,5695
"23","NMRI_oocysts_rep2","NMRI_oocysts","environmental","rep2","NMRI","environmental",0,"GAII",151090783,71038384,"NMRI",18524,71019860,99.9739,5777
"13","NMRI_1stInf_7dpi_rep2","NMRI_1stInf_7dpi","1st","rep2","NMRI","7",1,"GAII",139749046,95238769,"NMRI",21699324,73539445,77.2159,5943
